Running BrowserMob Proxy using LittleProxy implementation. To revert to the legacy implementation, run the proxy with the command-line option '--use-littleproxy false'.
[WARN  2024-06-06T16:56:24,073 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,142 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,142 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,152 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,152 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,211 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-3) No content type specified in response from /generate_204?7I9Azw. Content will be treated as application/octet-stream 
[WARN  2024-06-06T16:56:24,332 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-0) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,333 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-0) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,475 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,476 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,524 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,524 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,580 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-5) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,580 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-2) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,580 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-5) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,580 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-2) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,580 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,580 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,657 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,658 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,699 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-3) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,700 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-3) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,701 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-3) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,701 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-3) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,706 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,706 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,722 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,722 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,727 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-5) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,727 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-5) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,751 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,751 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,754 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,754 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,777 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-3) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,778 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-3) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,788 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,789 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,793 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,793 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,797 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,798 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,851 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-0) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,851 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-0) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,880 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-3) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,880 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-3) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,885 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-1-ProxyToServerWorker-0) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,885 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-1-ProxyToServerWorker-0) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,901 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,902 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,904 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,904 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,906 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) Cannot decode unsupported content encoding type br 
